 Total leads: 52278
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Koraidon           | 16.46392% | 4213   |  8.059% | 
 | 2    | Ting-Lu            | 10.02244% | 2791   |  5.339% | 
 | 3    | Calyrex-Shadow     |  7.70875% | 2726   |  5.214% | 
 | 4    | Miraidon           |  6.86425% | 3922   |  7.502% | 
 | 5    | Ho-Oh              |  6.03441% | 2034   |  3.891% | 
 | 6    | Glimmora           |  4.49912% | 1546   |  2.957% | 
 | 7    | Garganacl          |  4.46770% | 485    |  0.928% | 
 | 8    | Urshifu-Rapid-Strike |  4.14639% | 1404   |  2.686% | 
 | 9    | Chien-Pao          |  3.94096% | 1782   |  3.409% | 
 | 10   | Rillaboom          |  3.89403% | 331    |  0.633% | 
 | 11   | Kyogre             |  3.09097% | 1114   |  2.131% | 
 | 12   | Lunala             |  3.09080% | 678    |  1.297% | 
 | 13   | Gliscor            |  3.09004% | 1319   |  2.523% | 
 | 14   | Flutter Mane       |  2.11743% | 2720   |  5.203% | 
 | 15   | Arceus-Fairy       |  2.02629% | 1201   |  2.297% | 
 | 16   | Landorus-Therian   |  1.73427% | 1701   |  3.254% | 
 | 17   | Calyrex-Ice        |  1.37359% | 506    |  0.968% | 
 | 18   | Arceus-Ground      |  1.19217% | 573    |  1.096% | 
 | 19   | Ursaluna-Bloodmoon |  1.11097% | 443    |  0.847% | 
 | 20   | Grimmsnarl         |  1.09099% | 1201   |  2.297% | 
 | 21   | Arceus             |  1.00480% | 625    |  1.196% | 
 | 22   | Dragonite          |  0.73080% | 355    |  0.679% | 
 | 23   | Eternatus          |  0.67428% | 821    |  1.570% | 
 | 24   | Terapagos          |  0.66133% | 312    |  0.597% | 
 | 25   | Mimikyu            |  0.66057% | 541    |  1.035% | 
 | 26   | Archaludon         |  0.64734% | 607    |  1.161% | 
 | 27   | Iron Treads        |  0.53335% | 461    |  0.882% | 
 | 28   | Breloom            |  0.52248% | 80     |  0.153% | 
 | 29   | Porygon2           |  0.49819% | 47     |  0.090% | 
 | 30   | Dondozo            |  0.46886% | 263    |  0.503% | 
 | 31   | Smeargle           |  0.43392% | 568    |  1.086% | 
 | 32   | Arceus-Fire        |  0.27414% | 12     |  0.023% | 
 | 33   | Ogerpon-Hearthflame |  0.26439% | 88     |  0.168% | 
 | 34   | Arceus-Flying      |  0.26406% | 54     |  0.103% | 
 | 35   | Quaquaval          |  0.25432% | 96     |  0.184% | 
